id;price;address;neighborhood/city;rooms;garage;bathroom;square_meter;type;suite;gym;balcony;hall;transaction_type;lat;long
601247;4200000;Alameda Fernão Cardim; Jardim Paulista;3;3;5;277;2;0;0;0;0;Venda;-23.5688157;-46.6533005
379950;850000;Avenida Dom Bosco; Parque Tamandaré;3;3;3;150;2;1;0;1;0;Venda;-21.7595909;-41.3385061
531824;3250000;Rua Presidente Alfonso López; Lagoa;3;2;9;220;2;1;0;0;0;Venda;;
932884;85000;Rua H; Parque D Pedro;3;1;2;95;6;1;0;0;0;Venda;-3.9061294;-38.5120618
129261;219500;Centro; Barra dos Coqueiros;1;0;1;300;8;0;0;0;0;Venda;-10.9067714;-37.034182
646245;65000;Largo da Valéria; Valéria;3;1;1;90;6;0;0;0;0;Venda;;
339120;398500;Rua Antônio Joaquim de Souza; Jardim Alvorada;3;4;2;232;6;0;0;0;0;Venda;;
91388;60000;Avenida Engenheiro David Monteiro Lino; Centro;1;0;1;600;8;0;0;0;0;Venda;;
475855;49900;Centro; Nazaré Paulista;1;0;1;600;8;0;0;0;0;Venda;-23.1824754;-46.398502
28431;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
185927;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0;Venda;;
231496;495000;Rua José de Paula; Centro;3;2;3;146;7;0;0;0;0;Venda;-22.3520066;-47.3774423
436624;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
54176;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
177279;49900;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;0;Venda;-9.7160207;-35.8927564
290209;49900;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
196161;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
515727;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
206557;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
569430;29900;Rua Habib Tanuri; Center Ville;1;0;1;500;8;0;0;0;0;Venda;-23.3909975;-46.326398
678202;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
937982;22000;Estrada do Ouro Fino; Centro;1;0;1;500;8;0;0;0;0;Venda;-22.2941505;-46.3651907
979018;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;8;0;0;0;0;Venda;;
69183;25000;Rua José Prianti Sobrinho; 415;1;0;1;500;8;0;0;0;0;Venda;;
622666;60000;Rua Marechal Deodoro; Centro;1;0;1;600;8;0;0;0;1;Venda;-9.7160207;-35.8927564
326660;29900;Rua Sergio Saleh Riman; Center Ville;1;0;1;500;8;0;0;0;0;Venda;-23.3899331;-46.3247545
443435;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
54984;29990;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
632706;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
867119;35000;Centro; Santa Isabel;1;0;1;1000;8;0;0;0;0;Venda;-15.3000401;-49.4271365
106122;60000;Rua José Prianti Sobrinho; Centro;1;0;1;600;9;0;0;0;0;Venda;;
661388;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
180691;35000;Rua Santa Isabel; Ouro Fino;1;0;1;1000;8;0;0;0;0;Venda;;
994487;25000;Rua José Prianti Sobrinho; Centro;1;0;1;500;8;0;0;0;0;Venda;;
256320;385000;Avenida Marechal Hermes da Fonseca; Bessa;3;1;2;71;2;1;0;1;0;Venda;-7.0725547;-34.8453149
773668;45000;Rua José Prianti Sobrinho; Centro;1;0;1;1000;8;0;0;0;0;Venda;;
750840;29999;Avenida Comendador Vicente de Paula Penido; Centro;1;0;1;600;8;0;0;0;0;Venda;;
864803;29900;Rua Albino Rodrigues Neves; Centro;1;0;1;500;8;0;0;0;0;Venda;-23.3952774;-46.327251
963847;25000;Boa Vista; Igaratá;1;0;1;500;8;0;0;0;0;Venda;-23.1618308;-46.1591984
321901;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
704073;49900;Rua João José Batista; Centro;1;0;1;600;8;0;0;0;0;Venda;-27.2756702;-48.8501803
